City,Country,Continent,Population 2023,Population 2024,Growth Rate
Dongying,China,Asia,1379377,1410791,0.0228
Belgrade,Serbia,Europe,1408144,1410697,0.0018
Zunyi,China,Asia,1376453,1406091,0.0215
Zhanjiang,China,Asia,1371998,1399310,0.0199
Bucaramanga,Colombia,South America,1381498,1396632,0.011
Uyo,Nigeria,Africa,1329284,1393453,0.0483
Copenhagen,Denmark,Europe,1381005,1391205,0.0074
Shiyan,China,Asia,1354025,1387377,0.0246
Taizhong,Taiwan,Asia,1369066,1381855,0.0093
Bareilly,India,Asia,1348664,1380715,0.0238
Pointe Noire,Republic of the Congo,,1336387,1379368,0.0322
Adelaide,Australia,Oceania,1366783,1379280,0.0091
Suweon,South Korea,Asia,1365352,1378229,0.0094
Mwanza,Tanzania,Africa,1310754,1378014,0.0513
Mianyang Sichuan,China,Asia,1351383,1376449,0.0185
Samut Prakan,Thailand,Asia,1358871,1376146,0.0127
Maceio,Brazil,South America,1363510,1375984,0.0091
San Diego,United States,North America,1378307,1375452,-0.0021
Qom,Iran,Asia,1354174,1373800,0.0145
Antalya,Turkey,Asia,1347240,1372400,0.0187
Joinville,Brazil,South America,1348521,1361992,0.01
Tengzhou,China,Asia,1322916,1360779,0.0286
Yingkou,China,Asia,1323174,1355564,0.0245
Ad Dammam,Saudi Arabia,Asia,1329291,1352912,0.0178
Suzhou,China,Asia,1310433,1349994,0.0302
Tanger,Morocco,Africa,1314178,1348848,0.0264
Freetown,Sierra Leone,Africa,1309168,1347559,0.0293
Helsinki,Finland,Europe,1337786,1346810,0.0067
Aligarh,India,Asia,1312369,1346018,0.0256
Moradabad,India,Asia,1301740,1335966,0.0263
Pekan Baru,Indonesia,Asia,1303355,1334532,0.0239
Maoming,China,Asia,1303900,1333930,0.023
Lilongwe,Malawi,Africa,1276316,1333096,0.0445
Porto,Portugal,Europe,1324652,1329301,0.0035
Prague,Czech Republic,,1323339,1327947,0.0035
Astana,Kazakhstan,Asia,1291280,1324111,0.0254
Jieyang,China,Asia,1282479,1320779,0.0299
Fushun Liaoning,China,Asia,1304565,1317276,0.0097
Mysore,India,Asia,1288245,1316461,0.0219
Abomey Calavi,Benin,Africa,1252890,1314916,0.0495
Ruian,China,Asia,1281790,1314784,0.0257
Fes,Morocco,Africa,1290039,1313311,0.018
Port Elizabeth,South Africa,Africa,1295928,1312631,0.0129
Florianopolis,Brazil,South America,1294486,1309895,0.0119
Ahvaz,Iran,Asia,1293619,1309372,0.0122
Bukavu,DR Congo,Africa,1248783,1308469,0.0478
Nnewi,Nigeria,Africa,1239186,1300993,0.0499
Kazan,Russia,Asia,1291884,1296232,0.0034
Jinhua,China,Asia,1257941,1296065,0.0303
Dallas,United States,North America,1297495,1295447,-0.0016
San Luis Potosi,Mexico,North America,1273325,1292133,0.0148
Baoji,China,Asia,1261077,1290231,0.0231
Durg Bhilainagar,India,Asia,1266034,1289673,0.0187
Bhubaneswar,India,Asia,1257642,1289254,0.0251
Kigali,Rwanda,Africa,1247551,1287952,0.0324
Sofia,Bulgaria,Europe,1288114,1287540,-0.0004
Pingdingshan Henan,China,Asia,1256581,1285750,0.0232
Dublin,Ireland,Europe,1270172,1284551,0.0113
Puning,China,Asia,1254160,1282756,0.0228
Chifeng,China,Asia,1252414,1279544,0.0217
Zhuzhou,China,Asia,1254519,1277238,0.0181
Bujumbura,Burundi,Africa,1206767,1277050,0.0582
Zhenjiang Jiangsu,China,Asia,1250668,1275395,0.0198
Liupanshui,China,Asia,1230644,1272872,0.0343
Barquisimeto,Venezuela,South America,1254192,1267872,0.0109
Islamabad,Pakistan,Asia,1232447,1266792,0.0279
Huaibei,China,Asia,1236271,1264856,0.0231
Tasikmalaya,Indonesia,Asia,1213778,1258124,0.0365
Maracay,Venezuela,South America,1242945,1256553,0.0109
Bogor,Indonesia,Asia,1231445,1256155,0.0201
Da Nang,Vietnam,Asia,1220634,1253228,0.0267
Nizhniy Novgorod,Russia,Asia,1251332,1250302,-0.0008
Nanyang Henan,China,Asia,1224629,1250300,0.021
Xiangtan Hunan,China,Asia,1223912,1249380,0.0208
Pizhou,China,Asia,1207275,1247177,0.0331
Tiruchirappalli,India,Asia,1221960,1244978,0.0188
Chelyabinsk,Russia,Asia,1240926,1243883,0.0024
Mendoza,Argentina,South America,1226427,1242319,0.013
Luohe,China,Asia,1197935,1241152,0.0361
Xiongan,China,Asia,1183042,1240158,0.0483
Chandigarh,India,Asia,1214775,1239699,0.0205
Merida,Mexico,North America,1220603,1239654,0.0156
Jinzhou,China,Asia,1215376,1238377,0.0189
Benxi,China,Asia,1216852,1237550,0.017
Binzhou,China,Asia,1200222,1233584,0.0278
Aba,Nigeria,Africa,1188803,1230407,0.035
Chiang Mai,Thailand,Asia,1213348,1228773,0.0127
Bazhong,China,Asia,1175989,1225591,0.0422
Quetta,Pakistan,Asia,1190348,1221495,0.0262
Kaduna,Nigeria,Africa,1187398,1221451,0.0287
Guilin,China,Asia,1196841,1218067,0.0177
Saharanpur,India,Asia,1171689,1207856,0.0309
Hubli Dharwad,India,Asia,1181194,1205428,0.0205
Yueqing,China,Asia,1169864,1201400,0.027
Guwahati,India,Asia,1176330,1199455,0.0197
Mexicali,Mexico,North America,1178477,1196982,0.0157
Salem,India,Asia,1169953,1194757,0.0212
Maputo,Mozambique,Africa,1162793,1193253,0.0262
Tripoli,Libya,Africa,1183292,1192436,0.0077
Haifa,Israel,Asia,1174429,1186475,0.0103
Bandar Lampung,Indonesia,Asia,1162242,1186233,0.0206
Bobo Dioulasso,Burkina Faso,Africa,1128646,1185053,0.05
Amsterdam,Netherlands,Europe,1174025,1181817,0.0066
Shimkent,Kazakhstan,Asia,1155073,1181020,0.0225
Omsk,Russia,Asia,1180745,1180677,-0.0001
Aguascalientes,Mexico,North America,1161448,1179301,0.0154
Hargeysa,Somalia,Africa,1127198,1176617,0.0438
Krasnoyarsk,Russia,Asia,1166792,1173095,0.0054
Xinxiang,China,Asia,1140599,1160840,0.0177
Siliguri,India,Asia,1126249,1159371,0.0294
Wenling,China,Asia,1131361,1159259,0.0247
Samara,Russia,Asia,1155732,1154451,-0.0011
Zaozhuang,China,Asia,1133629,1150859,0.0152
Cologne,Germany,Europe,1143715,1149014,0.0046
Yongin,South Korea,Asia,1135671,1147967,0.0108
Ufa,Russia,Asia,1144799,1146786,0.0017
Fuyang,China,Asia,1120694,1146343,0.0229
Ikorodu,Nigeria,Africa,1093308,1145224,0.0475
Bien Hoa,Vietnam,Asia,1110824,1142997,0.029
Jalandhar,India,Asia,1118826,1142682,0.0213
Panjin,China,Asia,1120675,1142542,0.0195
Ma'anshan,China,Asia,1112680,1140264,0.0248
